Wplata,28088166970006372065571363,N/A,1000,2025-01-19 13:30:58
Wyplata,28088166970006372065571363,N/A,100,2025-01-19 13:31:17
Przelew,28088166970006372065571363,62231760567482383982159279,400,2025-01-19 13:31:40
Wplata,71559304947502845033138126,N/A,100,2025-01-19 13:36:59
Wyplata,71559304947502845033138126,N/A,10.12,2025-01-19 13:37:07
Przelew,71559304947502845033138126,37503988400718672688920684,77.5,2025-01-19 13:37:24
Wplata,94315118077640617739145914,N/A,755,2025-01-19 13:44:02
Wyplata,94315118077640617739145914,N/A,55,2025-01-19 13:44:08
Przelew,28088166970006372065571363,94315118077640617739145914,222.22,2025-01-19 13:46:35
Przelew,28088166970006372065571363,63987154884647873407911056,123.45,2025-01-19 13:47:52
